timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Relative Humidity [2 m],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Mean Sea Level Pressure [MSL],Basel Precipitation Total,Basel Snowfall Amount,Basel Cloud Cover Total,Basel Cloud Cover High [high cld lay],Basel Cloud Cover Medium [mid cld lay],Basel Cloud Cover Low [low cld lay],Basel Sunshine Duration,Basel Shortwave Radiation,Basel Direct Shortwave Radiation,Basel Diffuse Shortwave Radiation,Basel Wind Gust,Basel Wind Gust,Basel Wind Gust,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m],Basel Wind Speed [80 m],Basel Wind Speed [80 m],Basel Wind Speed [80 m],Basel Wind Direction Dominant [80 m]
20080102T0000,-4.0394716,2.6105285,-0.71697146,59,96,73.5,1012.3,1022.9,1018.27094,0,0,33.625,4.875,16.75,25.25,220.38689,1462.27,884.37445,577.8955,2.8799999,37.8,24.495,1.4399999,19.930477,12.335464,110.169304,10.464797,26.865265,20.152584,111.05911
20080103T0000,-1.1794714,5.6305285,1.3121954,66,97,79.291664,1004.9,1012.2,1007.71246,0,0,69.45,34.333332,68.166664,57.125,149.13335,1165.01,675.3214,489.68854,4.32,36.719997,23.22,3.2399998,24.023088,16.663662,111.91197,5.904439,34.162083,24.399324,112.413246
20080104T0000,-1.6194713,9.200529,3.0121956,60,96,80,1007.6,1014.2,1010.79987,0,0,56.333332,31.458334,55.375,25.416666,132,1381.28,769.08856,612.1916,4.32,25.199999,10.079999,5.3999996,19.05281,12.136093,114.18846,10.948973,35.31121,23.88433,116.20887
20080105T0000,2.6005285,10.950529,7.09053,57,89,70.583336,1008.6,1015.1,1012.0667,1.5,0,96.708336,17.125,95.583336,89.291664,0,590.07,210.05582,380.0142,3.6,56.16,29.909998,5.1165614,25.006397,13.795151,201.78474,7.7879906,33.221584,20.224419,205.94229
20080106T0000,5.8605285,8.540529,7.0613613,76,98,90.25,1006.1,1019.7,1013.62915,8.800001,0,90.5,5.7916665,34,90.5,134.04256,599.86005,188.96652,410.89346,9.72,57.96,26.984999,3.2399998,25.570139,12.73634,246.23932,4.896529,36.388508,16.375706,245.56091
20080107T0000,3.5805285,12.390529,7.145529,78,98,92.583336,1015.6,1025.8,1019.52484,1.0000001,0,72.083336,38.583332,40.833332,72.083336,245.90213,1027.9501,560.4899,467.46008,10.440001,46.44,29.249998,4.072935,37.123665,16.38456,243.38054,7.7879906,46.88991,25.285025,244.16513
20080108T0000,2.7705286,7.9205284,4.7576118,71,97,83.958336,1021.4,1027.1,1024.5543,0,0,56.091663,15.125,26.916666,29.166666,430.53705,1968.6799,1109.4701,859.2098,2.52,33.48,11.174999,3.96,13.830749,7.914133,153.2616,4.6938252,19.171478,9.782484,162.21896
20080109T0000,2.2005286,10.320529,5.5084453,65,94,81.708336,1018.8,1021.5,1020.2292,0.8,0,90.791664,44.083332,67.166664,59.791668,0,1066.22,612.7328,453.48718,7.2,18.359999,9.81,6.2145634,11.090103,8.347729,146.9424,7.127636,15.379206,11.853821,168.79213
20080110T0000,2.5805285,11.690529,7.5821958,71,96,83.208336,1017.5,1021.9,1020.0418,0,0,32.116665,11.125,0.5416667,29.791666,470.52765,1889.4698,1067.1157,822.3542,7.92,25.199999,16.83,4.73506,9.957108,6.7295794,158.85255,6.763786,13.044722,9.476812,177.53958
20080111T0000,0.6405287,10.990529,4.7792783,59,97,81.666664,1003.9,1018.6,1010.7668,0,0,30.9125,29.333334,17.583334,14.5,262.56842,1529.02,922.1196,606.9003,10.440001,27.72,17.505,6.3690495,23.469128,14.750721,121.96814,10.829958,33.46645,24.881136,128.22458
20080112T0000,1.7405287,5.7405286,4.6192784,73,89,79.708336,1003.9,1019.9,1011.1001,0.1,0,92.666664,50.958332,90.833336,62.625,0,671.06,261.497,409.56296,8.64,51.48,30.06,7.771331,21.2522,15.129853,246.00241,9.339208,31.75355,22.253448,248.28685
20080113T0000,-0.33947134,6.3705287,2.312612,71,97,86.541664,1015,1021.4,1018.5417,0,0,23.25,3.25,1.5833334,23.25,447.2954,1953.5498,1104.9714,848.57855,3.2399998,24.84,12.149999,2.5455842,17.414474,10.056995,126.047516,2.5959969,27.783045,14.030625,123.58287
20080114T0000,-0.07947134,8.950529,3.6505287,74,94,84.916664,1013.2,1015.4,1014.48755,1.3000001,0,73.13333,66.083336,72.708336,41.666668,61.27659,1812.93,1026.8784,786.0515,3.96,29.519999,8.415,4.6800003,9.693296,7.267174,107.893036,4.1046314,20.188908,10.536339,121.14102
20080115T0000,1.6505287,10.170529,6.3242784,60,91,73.583336,1002.5,1014.7,1010.7917,0,0,66.07916,50.75,65.125,37.5,209.24907,1794.24,1033.1727,761.06714,9.36,73.799995,33.99,6.9247384,22.702845,13.865111,179.72781,7.7879906,33.24888,19.418947,190.35556
20080116T0000,4.2205286,8.750529,6.932195,49,97,82.291664,998.3,1005.2,1001.70416,3.6000001,0,99.166664,71.083336,92.666664,77.083336,0,1401.75,862.6455,539.1046,9.72,81.72,34.08,3.396233,26.434887,9.8411455,177.60608,6.297428,39.84307,14.232399,169.35712
20080117T0000,2.7405286,9.920529,5.9742794,60,98,79.208336,1006,1015.9,1012.27924,0,0,56.30417,18.708334,20.708334,50.875,327.78598,2030.98,1151.0487,879.9313,9,31.68,20.1,3.4152596,20.523157,9.936683,214.41339,6.2145634,23.068108,15.143978,218.96968
20080118T0000,6.8605285,10.850529,9.481361,67,83,75.083336,1010.3,1023.8,1019.12494,0.8000001,0,90.80417,39.666668,85.416664,65.666664,17.872341,1274.4801,669.4007,605.07935,14.04,64.799995,40.2,9.6932955,27.193705,18.395933,244.74854,15.94601,37.247387,26.649162,245.27188
20080119T0000,7.2605286,13.250529,10.513864,67,83,76.708336,1023.1,1029.5,1027.3958,0,0,10.162499,19.208334,6.8333335,0.7083333,479.5814,2147.57,1219.1637,928.4064,11.879999,59.399998,37.184994,8.766573,23.03156,17.2315,244.00562,19.296135,33.994755,26.026236,246.00714
20080120T0000,4.6205287,11.680529,7.701361,71,88,78.875,1027,1030.7,1028.7543,0,0,19.258333,16.25,2.4583333,14.625,495.43668,2152.0198,1223.3636,928.65643,4.68,22.68,14.669999,4.510787,16.299694,9.9767,235.19392,7.69592,23.966375,17.13741,251.22
20080121T0000,1.1405287,12.160529,6.3946953,71,98,84.291664,1017,1027.2,1023.0916,0,0,42.470833,40.916668,30.916666,20.833334,396.69095,2192.96,1246.7906,946.16943,7.92,44.28,21.930002,4.829907,25.277025,9.771796,229.08086,7.289444,36.445442,13.729327,234.56155
20080122T0000,2.8705285,8.710529,6.83678,63,94,78.25,1011.5,1029.3,1018.57086,9,0,73.875,15.875,33.208332,71.791664,112.717026,1377.72,723.2212,654.49884,4.32,75.96,43.215,2.8799999,40.417915,25.987917,277.2172,5.8603754,52.171436,35.101734,280.0607
20080123T0000,-1.4994713,7.790529,3.2467785,54,94,69.958336,1029.2,1033.5,1031.1459,0,0,7.066667,1,6.5416665,0.29166666,506.2482,2289.0798,1305.4607,983.6192,1.4399999,16.56,7.0049996,1.8,14.8257065,7.3963966,120.73264,0.35999998,17.873556,10.861016,122.13289
20080124T0000,1.7605287,11.850529,6.3480287,39,71,55.791668,1028.4,1033.8,1030.0417,0,0,23.316666,46.333332,19.291666,0.9583333,446.3845,2300.65,1312.5316,988.1183,1.4399999,13.32,7.8749995,4.0249224,7.072878,5.299729,210.40553,2.6208394,9.585739,6.0653796,205.12782
20080125T0000,2.7005286,7.3205285,5.187612,69,96,84.041664,1034.2,1041,1038.8584,0.8,0,66.34583,32.333332,33.791668,57.541668,316.16028,2251.7002,1287.1198,964.58026,1.8,14.759999,5.699999,0.8049845,13.441071,4.9351788,327.3233,1.484318,15.034041,6.1545367,342.8274
20080126T0000,0.21052867,7.6305285,3.8584452,48,96,71.083336,1037.3,1042.2,1039.7708,0,0,17.462502,16.291666,1.4583334,12.625,527.2664,2470.64,1412.1378,1058.5021,0.71999997,9.72,4.14,0.35999998,6.4799995,3.671646,147.8132,0.35999998,10.195057,4.4534636,143.79741
20080127T0000,2.7305286,10.330529,6.723862,23,50,40.875,1034.5,1038.1,1036.3125,0,0,34.49166,36.5,32,0,491.1113,2491.1099,1425.1917,1065.9181,3.6,37.079998,20.55,3.319036,21.626984,10.66422,256.71378,0,26.727423,16.285162,264.4859
20080128T0000,2.9705286,11.420529,6.625529,39,79,58.666668,1031,1038,1034.1334,0,0,14.266666,18.916666,9.791667,0,438.1143,2508.0198,1436.4414,1071.5784,2.8799999,16.919998,5.9550014,1.1384199,6.439876,3.2936943,75.343254,1.0182338,12.599999,3.6844645,16.484451
20080129T0000,3.3305285,11.460529,7.4367795,59,92,76.166664,1024.7,1031.1,1027.75,0,0,89.791664,68.125,89.791664,0.125,11.268793,2237.46,1282.8278,954.63226,2.16,5.3999996,3.7800004,0.71999997,3.5455887,2.1277325,57.136818,0.71999997,3.5455887,1.9802828,43.32515
